Id	*hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	rightArmItemType	leftArmItemType	canNotUseTwoHandedItems	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
bighead1	10	bighead1	bighead2	0	Afflicted	bighead1		bighead	Bighead		BH	1	1												2	3		6	6	1	12	43	73	bighead	bighead	10	15	14	13				88	75	75	40	30	30	0	20	30	60	70	80														bighead1								1								1		1			1	1																																				100	85	75	-50	-40	-33				70						85		75	25			100			2				11	11	11	5	198	127	63	243	228	339	77							195	360	90	375	150	300	110							195	360	90	375	150	300	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead2	11	bighead1	bighead3	1	Tainted	bighead2		bighead	Bighead		BH	1	1												2	4		6	6	1	11	42	72	bighead	bighead	10	15	14	13				86	100	100	40	40	40	0	30	40	60	70	80														bighead2								1								1		1			1	1																																				100	85	75	-50	-40	-33				60						80		75	25			105			2				10	10	10	5	201	130	63	243	189	303	74							195	360	90	375	150	300	110							195	360	90	375	150	300	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead3	12	bighead1	bighead4	2	Misshapen	bighead3		bighead	Bighead		BH	1	1												1	2		5	5	1	5	37	69	bighead	bighead	10	15	14	13				80	50	50	40	50	50	0	40	50	60	70	80														bighead3								1								1		1			1	1																																				100	85	75	-50	-40	-33				40						70			25			110			2				5	5	5	5	186	124	64	243	228	303	73							195	360	90	375	150	300	110							195	360	90	375	150	300	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead4	13	bighead1	bighead5	3	Disfigured	bighead4		bighead	Bighead		BH	1	1												1	3		5	5	1	8	40	70	bighead	bighead	10	15	14	13				83	0	0	40	40	40	0	50	65	60	70	80														bighead4								1								1		1			1	1																																				100	85	75	-50	-40	-33				50						75			25			115			2				8	8	8	5	201	128	63	243	201	303	77							195	360	90	375	150	300	110							195	360	90	375	150	300	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead5	14	bighead1	bighead6	4	Damned	bighead5		bighead	Bighead		BH	1	1												3	4		7	7	2	27	57	84	bighead	bighead	10	15	14	13				90	33	33	40	30	30	0	60	80	60	70	80														bighead5								1								1		1			1	1																																				100	85	75	-50	-40	-33				80						100			25			120			2				22	22	22	5	195	126	63	264	213	318	75							195	360	90	375	150	300	110							195	360	90	375	150	300	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
foulcrow1	15	foulcrow1	foulcrow2	0	FoulCrow	foulcrow1		foulcrow	BloodHawk		BK	1													2	4		4	4	2	4	37	68	foulcrow	foulcrow	10	15	14	13				30	45	65	90	90	90	5	10	10	50	60	70	100	100	100																			1	1								1				1	1																																				100	100	100	-50	-40	-33															25			100	2				5	5	5	5	57	46	13	111	78	153	89							60	135	120	120	210	330	115							60	135	120	120	210	330	115							A1	pois					15	10	33	100	25	10	33	100																													Act 1 Cast A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) Cast A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) Cast A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
foulcrow2	16	foulcrow1	foulcrow3	1	BloodHawk	foulcrow2		foulcrow	BloodHawk		BK	1													3	4		4	4	2	6	38	69	foulcrow	foulcrow	10	15	14	13				30	50	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																				100	100	100	-50	-40	-33															25			105	2				7	7	7	5	63	41	14	111	123	183	93							60	135	120	120	210	330	115							60	135	120	120	210	330	115							A1	pois					15	10	33	100	25	10	33	100																													Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
foulcrow3	17	foulcrow1	foulcrow4	2	BlackRaptor	foulcrow3		foulcrow	BloodHawk		BK	1													3	5		5	5	2	16	45	76	foulcrow	foulcrow	10	15	14	13				30	55	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																				100	100	100	-50	-40	-33						60						80			25			110	2				17	17	17	5	63	45	13	111	111	192	94							60	135	120	120	210	330	115							60	135	120	120	210	330	115							A1	pois					15	10	33	100	25	10	33	100																													Act 2 Cast B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
foulcrow4	18	foulcrow1	foulcrow5	3	CloudStalker	foulcrow4		foulcrow	BloodHawk		BK	1													4	5		6	6	2	22	49	79	foulcrow	foulcrow	10	15	14	13				30	60	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																				100	100	100	-50	-40	-33	30		20	60			40		50	80					50	100			2				22	22	22	5	66	44	13	108	108	216	94							60	135	120	120	210	330	115							60	135	120	120	210	330	115							A1	pois					15	10	33	100	25	10	33	100																													Act 3 Cast A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fallen1	19	fallen1	fallen2	0	Fallen	fallen1		fallen	Fallen		FA	1							fallen1		1	1	2	3	2	3		5	5	2	1	36	67	fallen	fallen	10	15	14	13				30	40	50	10	15	20	50	60	70	20	25	30																						1	1							1		1			1	1							1																													100	85	75	-50	-40	-33													15		100		40		2				9	9	9	5	63	61	84	183	153	303	101	153	303	101				75	165	70	195	135	270	90	150	300	85				75	165	70	195	135	270	90	150	300	85				A1	fire					10	20	30		20	20	30																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
fallen2	20	fallen1	fallen3	1	Carver	fallen2		fallen	Fallen		FA	1							fallen2		1	1	2	4	2	4		5	5	2	5	38	68	fallen	fallen	10	15	14	13				45	50	55	15	18	24	60	70	80	25	30	35																						1	1							1		1			1	1							1																													100	85	75	-50	-40	-33													15		110		40		2				16	16	16	5	72	54	84	183	153	303	91	153	303	91				75	165	70	195	135	270	90	150	300	85				75	165	70	195	135	270	90	150	300	85				A1	cold					10	15	20	150	20	15	20	200																													Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen3	21	fallen1	fallen4	2	Devilkin	fallen3		fallen	Fallen		FA	1							fallen3		1	1	3	4	3	4		6	6	2	7	39	85	fallen	fallen	10	15	14	13				55	60	60	20	22	30	70	80	90	30	35	40																						1	1							1		1			1	1							1																													100	85	75	-50	-40	-33													15		120		40		2				25	25	25	5	54	53	84	177	123	303	94	123	303	94				75	165	70	195	135	270	90	150	300	85				75	165	70	195	135	270	90	150	300	85				A1	ltng					10	1	50		20	1	80																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen4	22	fallen1	fallen5	3	DarkOne	fallen4		fallen	Fallen		FA	1							fallen4		1	1	3	5	3	5		6	6	2	10	41	71	fallen	fallen	10	15	14	13				65	70	70	25	26	30	80	90	95	35	40	45																						1	1							1		1			1	1							1																													100	85	75	-50	-40	-33													15		125		40		2				36	36	36	5	69	55	84	180	129	303	91	129	303	91				75	165	70	195	135	270	90	150	300	85				75	165	70	195	135	270	90	150	300	85				A1	pois					10	10	15	50	20	10	15	75																													Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
fallen5	23	fallen1	fallen6	4	WarpedFallen	fallen5		fallen	Fallen		FA	1							fallen5		1	1	1	1	1	1		8	8	2	40	55	83	fallen	fallen	10	15	14	13				75	80	80	30	30	30	90	95	99	40	45	50																						1	1							1		1			1	1							1																													100	85	75	-50	-40	-33	50	50	50	50	50	50	66	66	66	66	66	66	25	75	75	75	75	75	2				49	49	49	5	63	55	84	279	135	279	93	135	291	93				75	165	70	195	135	270	90	150	300	85				75	165	70	195	135	270	90	150	300	85				A1	cold					10	20	25	175	10	20	25	225																													Act 5 H2H C	Act 5 Champ C	Act 5 Unique C		Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C		Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C								0
brute2	24	brute2	brute3	0	Brute	brute2		brute	Brute		YE	1													1	2		4	4	1	5	38	69	brute	brute	10	15	14	13							0	0	0	75	75	80	100	100	90																						1	1									1			1	1							1																													100	100	100	-50	-40	-33													50				120		2				6	6	6	5	417	224	84	363	228	303	91	378	453	91				435	630	85	360	210	360	95	330	420	100				435	630	85	360	210	360	95	330	420	100																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
brute3	25	brute2	brute4	1	Yeti	brute3		brute	Brute		YE	1													2	2		4	4	1	9	40	70	brute	brute	10	15	14	13							0	0	0	80	80	85	85	85	75																						1	1									1			1	1							1																													100	100	100	-50	-40	-33					20						60		50				130		2				10	10	10	5	438	236	84	363	174	303	95	345	387	95				435	630	85	360	210	360	95	330	420	100				435	630	85	360	210	360	95	330	420	100																																														Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
brute4	26	brute2	brute5	2	Crusher	brute4		brute	Brute		YE	1													2	3		5	5	2	19	48	79	brute	brute	10	15	14	13							0	0	0	85	85	90	75	75	65																						1	1									1			1	1							1																													100	100	100	-50	-40	-33		60											50			50	140		2				19	19	19	5	429	231	84	360	186	303	93	324	417	93				435	630	85	360	210	360	95	330	420	100				435	630	85	360	210	360	95	330	420	100																																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
brute5	27	brute2	brute1	3	WailingBeast	brute5		brute	Brute		YE	1													3	4		5	5	1	23	53	84	brute	brute	10	15	14	13							0	0	0	90	90	95	60	60	50																						1	1									1			1	1							1																													100	100	100	-50	-40	-33		60	20					80	50				50	100	75				2				23	23	23	5	426	230	85	363	183	321	92	342	423	92				435	630	85	360	210	360	95	330	420	100				435	630	85	360	210	360	95	330	420	100				A1	fire					15	15	35		15	30	50																														Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
brute1	28	brute2		4	GargantuanBeast	brute1		brute	Brute		YE	1													1	1		3	3	1	2	36	68	brute	brute	10	15	14	13							0	0	0	100	100	100	45	45	35																						1	1									1			1	1							1																													100	100	100	-50	-40	-33													50				100		2				4	4	4	5	387	215	84	363	201	303	101	303	402	101				435	630	85	360	210	360	95	330	420	100				435	630	85	360	210	360	95	330	420	100																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
sandraider1	29	sandraider1	sandraider2	0	SandRaider	sandraider1		sandraider	SandRaider		SR	1													2	3		5	5	1	13	43	74	sandraider	sandraider	10	15	14	13				40	40	40	70	70	40	75	80	85	70	75	85	18	12	9				50	50	50													1	1									1			1	1							1					Fire Hit	seq_firehit	1																						100	75	66	-50	-45	-40													25		100	50		33	2				25	25	25	5	408	211	84	351	201	303	175	330	420	180	80	100	250	405	540	110	390	195	330	175	330	420	180	80	100	250	405	540	110	390	195	330	175	330	420	180	80	100	250	S1	fire	100	100	130		100	120	150		100	140	180																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
