Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
20	120	286	431	120	336	507	199	450	938	199	450	938	292	1140	7542	292	1140	10056	39	51	72	39	51	72	600	2337	4676	600	2337	1169
21	126	296	446	126	348	525	210	468	976	210	468	976	312	1180	7680	312	1180	10242	42	57	78	42	57	78	660	2571	5144	660	2571	1286
22	132	306	461	132	360	542	221	486	1014	221	486	1014	336	1215	7812	336	1215	10416	42	57	78	42	57	78	726	2826	5652	726	2826	1413
23	138	316	476	138	372	560	232	504	1052	232	504	1052	356	1240	7950	356	1240	10602	45	60	84	45	60	84	798	3105	6212	798	3105	1553
24	144	326	491	144	384	578	243	522	1090	243	522	1090	376	1275	8082	376	1275	10776	48	63	90	48	63	90	878	3417	6836	878	3417	1709
25	150	337	506	150	396	595	254	540	1128	254	540	1128	400	1305	8220	400	1305	10962	48	63	90	48	63	90	940	3660	7320	940	3660	1830
26	156	347	521	156	408	613	265	558	1166	265	558	1166	424	1340	8352	424	1340	11136	51	69	93	51	69	93	1006	3915	7832	1006	3915	1958
27	162	357	536	162	420	630	276	576	1204	276	576	1204	452	1375	8490	452	1375	11322	51	69	93	51	69	93	1076	4191	8384	1076	4191	2096
28	168	367	551	168	432	648	287	594	1242	287	594	1242	480	1400	8622	480	1400	11496	54	72	99	54	72	99	1152	4482	8964	1152	4482	2241
29	174	377	566	174	444	666	298	612	1280	298	612	1280	504	1435	8760	504	1435	11682	57	75	105	57	75	105	1232	4794	9588	1232	4794	2397
30	180	388	581	180	456	683	309	630	1318	309	630	1318	536	1600	8892	536	1600	11856	57	75	105	57	75	105	1318	5127	10256	1318	5127	2564
31	186	398	596	186	468	701	320	648	1356	320	648	1356	568	1775	9030	568	1775	12042	60	81	111	60	81	111	1412	5496	10992	1412	5496	2748
32	192	408	610	192	480	718	331	666	1394	331	666	1394	600	1940	9162	600	1940	12216	60	81	111	60	81	111	1510	5874	11748	1510	5874	2937
33	198	418	626	198	492	736	342	684	1432	342	684	1432	632	2115	9300	632	2115	12402	63	84	117	63	84	117	1616	6291	12584	1616	6291	3146
34	204	428	641	204	504	754	353	702	1470	353	702	1470	664	2280	9432	664	2280	12576	66	87	123	66	87	123	1728	6723	13448	1728	6723	3362
35	210	439	655	210	516	771	364	720	1508	364	720	1508	696	2455	9570	696	2455	12762	66	87	123	66	87	123	1850	7197	14396	1850	7197	3599
36	216	449	671	216	528	789	375	738	1546	375	738	1546	728	2625	9702	728	2625	12936	69	93	129	69	93	129	1980	7704	15408	1980	7704	3852
37	222	459	685	222	540	806	386	756	1584	386	756	1584	760	2795	9840	760	2795	13122	69	93	129	69	93	129	2118	8235	16472	2118	8235	4118
38	228	469	700	228	552	824	397	774	1622	397	774	1622	792	2965	9972	792	2965	13296	72	96	132	72	96	132	2266	8817	17636	2266	8817	4409
39	234	479	716	234	564	842	408	792	1660	408	792	1660	824	3135	10110	824	3135	13482	75	99	138	75	99	138	2424	9432	18864	2424	9432	4716
40	240	490	730	240	576	859	419	810	1698	419	810	1698	860	3305	10242	860	3305	13656	75	99	138	75	99	138	2594	10095	20192	2594	10095	5048
41	246	500	745	246	588	877	430	828	1736	430	828	1736	900	3480	10380	900	3480	13842	78	105	144	78	105	144	2776	10800	21600	2776	10800	5400
42	252	510	760	252	600	894	441	846	1774	441	846	1774	936	3645	10512	936	3645	14016	78	105	144	78	105	144	2970	11556	23112	2970	11556	5778
43	258	520	775	258	612	912	452	864	1812	452	864	1812	972	3820	10650	972	3820	14202	81	108	150	81	108	150	3178	12363	24728	3178	12363	6182
44	264	530	791	264	624	930	463	882	1850	463	882	1850	1012	3985	10782	1012	3985	14376	84	111	156	84	111	156	3386	13227	26456	3386	13227	6614
45	270	541	805	270	636	947	474	900	1888	474	900	1888	1048	4160	10920	1048	4160	14562	84	111	156	84	111	156	3594	14154	28308	3594	14154	7077
46	276	551	820	276	648	965	485	918	1926	485	918	1926	1084	4335	11052	1084	4335	14736	87	117	162	87	117	162	3802	15153	30308	3802	15153	7577
47	282	561	835	282	660	982	496	936	1964	496	936	1964	1124	4500	11190	1124	4500	14922	87	117	162	87	117	162	4010	16206	32412	4010	16206	8103
48	288	571	850	288	672	1000	507	954	2002	507	954	2002	1160	4675	11322	1160	4675	15096	90	120	168	90	120	168	4218	17349	34700	4218	17349	8675
49	294	581	865	294	684	1018	518	972	2040	518	972	2040	1196	4840	11460	1196	4840	15282	93	123	171	93	123	171	4426	18558	37116	4426	18558	9279
50	300	592	880	300	696	1035	529	990	2078	529	990	2078	1240	5015	11592	1240	5015	15456	93	123	171	93	123	171	4634	19854	39708	4634	19854	9927
51	306	602	895	306	708	1053	540	1008	2116	540	1008	2116	1284	5185	11730	1284	5185	15642	96	129	177	96	129	177	4842	21240	42480	4842	21240	10620
52	312	612	910	312	720	1070	551	1026	2154	551	1026	2154	1324	5355	11862	1324	5355	15816	96	129	177	96	129	177	5050	22518	45036	5050	22518	11259
53	318	622	925	318	732	1088	562	1044	2192	562	1044	2192	1368	5525	12000	1368	5525	16002	99	132	183	99	132	183	5258	23868	47736	5258	23868	11934
54	324	632	940	324	744	1106	573	1062	2230	573	1062	2230	1408	5695	12180	1408	5695	16242	102	135	189	102	135	189	5466	25305	50612	5466	25305	12653
55	330	643	955	330	756	1123	584	1080	2268	584	1080	2268	1452	5865	12450	1452	5865	16602	102	135	189	102	135	189	5674	26826	53652	5674	26826	13413
56	336	653	970	336	768	1141	595	1098	2306	595	1098	2306	1496	6040	12810	1496	6040	17082	105	141	195	105	141	195	5882	28431	56864	5882	28431	14216
57	342	663	984	342	780	1158	606	1116	2344	606	1116	2344	1536	6205	13332	1536	6205	17772	105	141	195	105	141	195	6090	30132	60264	6090	30132	15066
58	348	673	1000	348	792	1176	617	1134	2382	617	1134	2382	1580	6380	13848	1580	6380	18462	108	144	201	108	144	201	6298	31941	63884	6298	31941	15971
59	354	683	1015	354	804	1194	628	1152	2420	628	1152	2420	1624	6545	14364	1624	6545	19152	111	147	204	111	147	204	6506	33858	67716	6506	33858	16929
60	360	694	1029	360	816	1211	639	1170	2458	639	1170	2458	1672	6720	14880	1672	6720	19842	111	147	204	111	147	204	6714	35892	71784	6714	35892	17946
61	366	704	1045	366	828	1229	650	1188	2496	650	1188	2496	1720	6895	15402	1720	6895	20532	114	153	210	114	153	210	6922	38040	76080	6922	38040	19020
62	372	714	1059	372	840	1246	661	1206	2534	661	1206	2534	1768	7060	15918	1768	7060	21222	114	153	210	114	153	210	7130	40326	80652	7130	40326	20163
63	378	724	1074	378	852	1264	672	1224	2572	672	1224	2572	1816	7235	16434	1816	7235	21912	117	156	216	117	156	216	7338	42747	85496	7338	42747	21374
64	384	734	1090	384	864	1282	683	1242	2610	683	1242	2610	1864	7400	16950	1864	7400	22602	117	156	216	117	156	216	7546	45312	90624	7546	45312	22656
65	390	745	1104	390	876	1299	694	1260	2648	694	1260	2648	1908	7575	17472	1908	7575	23292	120	159	222	120	159	222	7754	48030	96060	7754	48030	24015
66	396	755	1119	396	888	1317	705	1278	2686	705	1278	2686	1956	7745	17988	1956	7745	23982	123	165	228	123	165	228	7962	50748	101496	7962	50748	25374
67	402	765	1134	402	900	1334	716	1296	2724	716	1296	2724	2004	7915	18504	2004	7915	24672	123	165	228	123	165	228	8170	53466	106932	8170	53466	26733
68	408	775	1149	408	912	1352	727	1314	2762	727	1314	2762	2052	8085	19020	2052	8085	25362	126	168	234	126	168	234	8378	56184	112368	8378	56184	28092
69	414	785	1165	414	924	1370	738	1332	2800	738	1332	2800	2100	8255	19542	2100	8255	26052	129	171	240	129	171	240	8586	58902	117804	8586	58902	29451
70	420	796	1179	420	936	1387	749	1350	2838	749	1350	2838	2156	8425	20058	2156	8425	26742	129	171	240	129	171	240	8794	61620	123240	8794	61620	30810
71	426	806	1194	426	948	1405	760	1368	2876	760	1368	2876	2208	8600	20574	2208	8600	27432	132	177	243	132	177	243	9002	64338	128676	9002	64338	32169
72	432	816	1209	432	960	1422	771	1386	2914	771	1386	2914	2260	8765	21090	2260	8765	28122	132	177	243	132	177	243	9210	67056	134112	9210	67056	33528
73	438	826	1224	438	972	1440	782	1404	2952	782	1404	2952	2316	8940	21612	2316	8940	28812	135	180	249	135	180	249	9418	69774	139548	9418	69774	34887
74	444	836	1239	444	984	1458	793	1422	2990	793	1422	2990	2368	9105	22128	2368	9105	29502	138	183	255	138	183	255	9626	72492	144984	9626	72492	36246
75	450	847	1254	450	996	1475	804	1440	3028	804	1440	3028	2420	9280	22644	2420	9280	30192	138	183	255	138	183	255	9834	75210	150420	9834	75210	37605
76	456	857	1269	456	1008	1493	815	1458	3066	815	1458	3066	2472	9455	23160	2472	9455	30882	141	189	261	141	189	261	10042	77928	155856	10042	77928	38964
77	462	867	1284	462	1020	1510	826	1476	3104	826	1476	3104	2528	9620	23682	2528	9620	31572	141	189	261	141	189	261	10250	80646	161292	10250	80646	40323
78	468	877	1299	468	1032	1528	837	1494	3142	837	1494	3142	2580	9795	24198	2580	9795	32262	144	192	267	144	192	267	10458	83364	166728	10458	83364	41682
79	474	887	1314	474	1044	1546	848	1512	3180	848	1512	3180	2632	9960	24714	2632	9960	32952	147	195	273	147	195	273	10666	86082	172164	10666	86082	43041
80	480	898	1329	480	1056	1563	859	1530	3218	859	1530	3218	2692	10135	25230	2692	10135	33642	147	195	273	147	195	273	10874	88800	177600	10874	88800	44400
81	486	908	1344	486	1068	1581	870	1548	3256	870	1548	3256	2752	10305	25752	2752	10305	34332	150	201	279	150	201	279	11082	91518	183036	11082	91518	45759
82	492	918	1358	492	1080	1598	881	1566	3294	881	1566	3294	2808	10475	26268	2808	10475	35022	150	201	279	150	201	279	11290	94236	188472	11290	94236	47118
83	498	928	1374	498	1092	1616	892	1584	3332	892	1584	3332	2868	10645	26784	2868	10645	35712	153	204	282	153	204	282	11498	96954	193908	11498	96954	48477
84	504	938	1389	504	1104	1634	903	1602	3370	903	1602	3370	2928	10815	27300	2928	10815	36402	153	204	282	153	204	282	11706	99672	199344	11706	99672	49836
85	510	949	1403	510	1116	1651	914	1620	3408	914	1620	3408	2984	10985	27822	2984	10985	37092	156	207	288	156	207	288	11914	102390	204780	11914	102390	51195
86	516	959	1419	516	1128	1669	925	1638	3446	925	1638	3446	3044	11160	28338	3044	11160	37782	159	210	294	159	210	294	12122	105108	210216	12122	105108	52554
87	522	969	1433	522	1140	1686	936	1656	3484	936	1656	3484	3100	11325	28854	3100	11325	38472	159	210	294	159	210	294	12330	107826	215652	12330	107826	53913
88	528	979	1448	528	1152	1704	947	1674	3522	947	1674	3522	3160	11500	29370	3160	11500	39162	162	216	300	162	216	300	12538	110544	221088	12538	110544	55272
89	534	989	1464	534	1164	1722	958	1692	3560	958	1692	3560	3220	11665	29892	3220	11665	39852	165	219	306	165	219	306	12746	113262	226524	12746	113262	56631
90	540	1000	1478	540	1176	1739	969	1710	3598	969	1710	3598	3284	11840	30408	3284	11840	40542	165	219	306	165	219	306	12954	115980	231960	12954	115980	57990
91	546	1010	1493	546	1188	1757	980	1728	3636	980	1728	3636	3348	12015	30924	3348	12015	41232	168	222	312	168	222	312	13162	118698	237396	13162	118698	59349
92	552	1020	1508	552	1200	1774	991	1746	3674	991	1746	3674	3412	12180	31440	3412	12180	41922	168	222	312	168	222	312	13370	121416	242832	13370	121416	60708
93	558	1030	1523	558	1212	1792	1002	1764	3712	1002	1764	3712	3472	12355	31962	3472	12355	42612	171	228	315	171	228	315	13578	124134	248268	13578	124134	62067
94	564	1040	1539	564	1224	1810	1013	1782	3750	1013	1782	3750	3536	12520	32478	3536	12520	43302	174	231	321	174	231	321	13786	126852	253704	13786	126852	63426
95	570	1051	1553	570	1236	1827	1024	1800	3788	1024	1800	3788	3600	12695	32994	3600	12695	43992	174	231	321	174	231	321	13994	129570	259140	13994	129570	64785
96	576	1061	1568	576	1248	1845	1035	1818	3826	1035	1818	3826	3664	12865	33510	3664	12865	44682	177	234	327	177	234	327	14202	132288	264576	14202	132288	66144
97	582	1071	1583	582	1260	1862	1046	1836	3864	1046	1836	3864	3728	13035	34032	3728	13035	45372	177	234	327	177	234	327	14410	135006	270012	14410	135006	67503
98	588	1081	1598	588	1272	1880	1057	1854	3902	1057	1854	3902	3792	13205	34548	3792	13205	46062	180	240	333	180	240	333	14618	137724	275448	14618	137724	68862
99	594	1091	1613	594	1284	1898	1068	1872	3940	1068	1872	3940	3856	13375	35064	3856	13375	46752	180	240	333	180	240	333	14826	140442	280884	14826	140442	70221
100	600	1102	1628	600	1296	1915	1079	1890	3978	1079	1890	3978	3928	13545	35580	3928	13545	47442	183	243	339	183	243	339	15034	143160	286320	15034	143160	71580
101	606	1112	1643	606	1308	1933	1090	1908	4016	1090	1908	4016	3996	13720	36102	3996	13720	48132	186	246	345	186	246	345	15242	145878	291756	15242	145878	72939
102	612	1122	1658	612	1320	1950	1101	1926	4054	1101	1926	4054	4064	13885	36618	4064	13885	48822	186	246	345	186	246	345	15450	148596	297192	15450	148596	74298
103	618	1132	1673	618	1332	1968	1112	1944	4092	1112	1944	4092	4132	14060	37134	4132	14060	49512	189	252	351	189	252	351	15658	151314	302628	15658	151314	75657
104	624	1142	1688	624	1344	1986	1123	1962	4130	1123	1962	4130	4204	14225	37650	4204	14225	50202	189	252	351	189	252	351	15866	154032	308064	15866	154032	77016
105	630	1153	1703	630	1356	2003	1134	1980	4168	1134	1980	4168	4272	14400	38172	4272	14400	50892	192	255	354	192	255	354	16074	156750	313500	16074	156750	78375
106	636	1163	1718	636	1368	2021	1145	1998	4206	1145	1998	4206	4340	14575	38688	4340	14575	51582	195	258	360	195	258	360	16282	159468	318936	16282	159468	79734
107	642	1173	1732	642	1380	2038	1156	2016	4244	1156	2016	4244	4412	14740	39204	4412	14740	52272	195	258	360	195	258	360	16490	162186	324372	16490	162186	81093
108	648	1183	1748	648	1392	2056	1167	2034	4282	1167	2034	4282	4480	14915	39720	4480	14915	52962	198	264	366	198	264	366	16698	164904	329808	16698	164904	82452
109	654	1193	1763	654	1404	2074	1178	2052	4320	1178	2052	4320	4548	15080	40242	4548	15080	53652	201	267	372	201	267	372	16906	167622	335244	16906	167622	83811
110	2100	2100	2100	2100	2100	2100	6532	6532	6532	6532	6532	6532	40000	50000	60000	40000	50000	60000	390	390	390	390	390	390	320000	480000	640000	320000	480000	160000
